document,class_name,class_index,dataset_type
database investigation protein fold kinetic,8,3,train
time trigger language embed programming,5,5,train
intelligent agent key concept,9,9,train
modeling simulation genetic system literature review,2,8,train
comparison classifier document representation route problem,3,2,train
dimension integration testing model trade,9,9,train
impact pricing credit default swap,4,7,train
theoretic account locality,8,3,train
manage consensus group decision make fuzzy,9,9,train
nonparametric regression nonlinear modeling genetic network,2,8,train
generate random path stochastic process,4,7,train
optimization preparation condition corn base activate carbon removal,7,4,train
continuous network multiple activity,3,2,train
asset pricing regime shift consumption growth job market paper,4,7,train
soil carbon ecosystem,0,1,train
robust inference differential gene expression microarray multiple sample,2,8,train
climate methane oxide emission natural source,7,4,train
neural approach independent component analysis source separation,3,2,train
work construct practice,9,9,train
form neural network efficient adaptive coevolution,3,2,train
pricing stochastic volatility trading volume,4,7,train
learn structural preference dynamic recursive neural network,3,2,train
high performance element simulation flow,8,3,train
history future prospect laser technology,6,0,train
outcome measurement theory probability,8,3,train
auto distribute memory dimensional fast fourier transform,6,0,train
clustering gene expression datum literature base information,2,8,train
psychological constraint government decision making,9,9,train
statistical mechanic portfolio option,4,7,train
material paper support propose identification secondary material solid waste oil,7,4,train
element realistic virtual laboratory experience material science development evaluation,6,0,train
convergence rate markov chain method genomic motif discovery,2,8,train
optimization global method neural network,3,2,train
annotation base distance measure patient discovery clinical microarray study,2,8,train
architecture support cooperation distribute autonomous system,5,5,train
water user association,0,1,train
coal combustion residue soil amendment surface coal,7,4,train
sensor grain flow model simulate grain yield sensor response,0,1,train
report sustainable development,7,4,train
hide markov model optimal brain,3,2,train
representation direct product,6,0,train
neural mechanism stochastic behaviour competitive game,9,9,train
survey computational complexity result system control,3,2,train
water conservation water demand management agriculture development water management plan irrigation water,0,1,train
trust management tool internet application,9,9,train
polynomial sequence type path integral,8,3,train
vol design financial system synthesis function structure,4,7,train
compare evolutionary hybrid system design optimization structure training parameter,3,2,train
water regime model forest ecosystem carbon dioxide nitrogen deposition,0,1,train
implication consistent wave function,8,3,train
simultaneous measurement soil water content salinity frequency response method,0,1,train
privacy risk model design privacy sensitive ubiquitous computing system,9,9,train
inter pattern distance base constructive learning algorithm,3,2,train
firm hedge derivative,4,7,train
abstract understand dynamic scene,3,2,train
